X,Y,Z
0.123551,0.6342487,-2.490673
0.1236837,0.6342467,-2.490629
0.1238089,0.6341304,-2.490868
0.1238807,0.6339323,-2.491299
0.1239586,0.6339046,-2.491377
0.1239973,0.6339015,-2.491491
0.1239957,0.6338296,-2.491362
0.1239455,0.6339568,-2.491202
0.1238929,0.633907,-2.490962
0.1238325,0.633853,-2.490727
0.1235639,0.6338404,-2.49013
0.1231867,0.6337375,-2.489326
0.1223634,0.6338262,-2.487332
0.1208002,0.6341006,-2.483378
0.1188515,0.6340015,-2.478993
0.1160833,0.6340695,-2.472963
0.1122053,0.6339858,-2.466302
0.1081741,0.6337459,-2.45894
0.1031668,0.6336619,-2.449953
0.09810624,0.6333885,-2.439141
0.09376331,0.633405,-2.427955
0.09008694,0.6333442,-2.416211
0.08817139,0.6331804,-2.40519
0.08789192,0.6332875,-2.393137
0.08882978,0.6329737,-2.381455
0.08945728,0.6328098,-2.368835
0.08952437,0.6325837,-2.356328
0.08983989,0.6322912,-2.342742
0.08982822,0.6321418,-2.329554
0.09018421,0.6318663,-2.316564
0.09015333,0.6316968,-2.30172
0.09067264,0.63122,-2.287796
0.09119552,0.6310605,-2.272786
0.09194084,0.630733,-2.257806
0.09267472,0.6302702,-2.242449
0.09283813,0.6301227,-2.226326
0.09352036,0.6297301,-2.209355
0.09394524,0.6291509,-2.192217
0.09444816,0.6283975,-2.175402
0.09510601,0.6278453,-2.157304
0.09542041,0.6273869,-2.138565
0.09572183,0.6269457,-2.118891
0.09620535,0.6264217,-2.099071
0.09629081,0.6260185,-2.080397
0.09565674,0.6252707,-2.061602
0.09493899,0.6249386,-2.042798
0.09452264,0.6246972,-2.0229
0.09416711,0.6242915,-2.004137
0.09371485,0.6236627,-1.985449
0.0931854,0.6233426,-1.966767
0.09274269,0.6229733,-1.947453
0.09193639,0.6228343,-1.927857
0.09141539,0.6222993,-1.907346
0.09064945,0.621793,-1.885646
0.08981068,0.6213045,-1.863403
0.08873315,0.6207041,-1.84069
0.08782806,0.6202177,-1.818541
0.08700033,0.61945,-1.795567
0.08633188,0.6188685,-1.772519
0.08591871,0.6185458,-1.749701
0.08558962,0.61821,-1.728326
0.08501444,0.6174978,-1.707682
0.08495589,0.6169997,-1.68859
0.08572552,0.6163757,-1.669648
0.08619148,0.615958,-1.649693
0.08656566,0.6153691,-1.628118
0.08745472,0.6146681,-1.604843
0.08869852,0.6141438,-1.580536
0.08964323,0.6135966,-1.557321
0.09040841,0.6133319,-1.533698
0.09124556,0.6127344,-1.509541
0.09192341,0.6121604,-1.485053
0.0932541,0.6116013,-1.460661
0.09560134,0.6105857,-1.438215
0.09700571,0.6100208,-1.41564
0.09867618,0.6092544,-1.393541
0.1001458,0.6083291,-1.373133
0.1016344,0.6077021,-1.35151
0.1028011,0.6071738,-1.32889
0.1042335,0.606422,-1.305074
0.1057213,0.605962,-1.282376
0.1073246,0.605471,-1.25844
0.1089656,0.6051165,-1.235216
0.1105197,0.6044307,-1.211849
0.1118483,0.6037635,-1.188952
0.1124643,0.6028944,-1.166706
0.1128435,0.6020266,-1.145244
0.1129233,0.6014241,-1.124424
0.1135202,0.600962,-1.10401
0.1135771,0.6007115,-1.083642
0.1136976,0.6001223,-1.064639
0.1136326,0.5995352,-1.045283
0.1133819,0.5986816,-1.026014
0.1134896,0.5977675,-1.006461
0.1129745,0.5975304,-0.9852585
0.1128618,0.5969138,-0.9645973
0.1126284,0.5964856,-0.9446526
0.1121117,0.596015,-0.9241261
0.1113702,0.5953,-0.9032832
0.1105638,0.5947055,-0.882319
0.110092,0.5942465,-0.8608412
0.108805,0.5939419,-0.838815
0.1078817,0.5934369,-0.8172976
0.1069809,0.592852,-0.7963712
0.1061596,0.5922835,-0.7769309
0.1052236,0.5918686,-0.7583941
0.1042605,0.5916707,-0.7399746
0.103075,0.5912519,-0.7229205
0.1022564,0.5909637,-0.7066193
0.1014163,0.5907847,-0.6908413
0.1009581,0.5905456,-0.6762164
0.1008828,0.5902275,-0.661175
0.09989887,0.5897243,-0.6461018
0.09952692,0.5890893,-0.6303351
0.09847219,0.5886763,-0.6155649
0.09773264,0.5882393,-0.6023687
0.0969714,0.5880464,-0.5906674
0.09625922,0.5879295,-0.5802546
0.09574567,0.5875649,-0.5719402
0.09526762,0.587326,-0.5650504
0.0950727,0.5871232,-0.5594321
0.09472082,0.5869039,-0.5553125
0.09469169,0.5866824,-0.5518965
0.09465899,0.5865734,-0.5490677
0.09440426,0.5865369,-0.5473986
0.09430768,0.5865073,-0.5471322
0.09422784,0.5866355,-0.5473418
0.09438843,0.5864241,-0.5472988
