X,Y,Z
0.2475054,1.499081,-0.0061239
0.2472462,1.502411,-0.004681081
0.2474417,1.50281,-0.004176438
0.2478712,1.503649,-0.003576756
0.2484788,1.505729,-0.002485812
0.2488705,1.508541,-0.002179474
0.2486039,1.511612,-0.002123058
0.2476781,1.51397,-0.002357304
0.245883,1.517182,-0.001801133
0.2444735,1.52011,-0.002137601
0.2429046,1.523562,-0.001498878
0.2419729,1.52696,-4.348159E-05
0.2415069,1.530547,0.0006723106
0.2400325,1.534692,0.000901252
0.238907,1.540174,0.0004991293
0.2381736,1.545224,3.603101E-05
0.2376546,1.551415,0.001074106
0.2374111,1.555788,0.002436936
0.2373364,1.561864,0.003774524
0.235772,1.567476,0.004569203
0.2341644,1.573117,0.004493594
0.2327308,1.580175,0.005368829
0.230839,1.58642,0.00553453
0.2284805,1.59343,0.004654318
0.2253457,1.600318,0.004209399
0.2226899,1.607274,0.003517181
0.2199127,1.613992,0.003609061
0.2173512,1.620348,0.003782719
0.2138258,1.62664,0.004827112
0.2095299,1.632087,0.005042076
0.2049954,1.637758,0.00406763
0.2011815,1.642952,0.002975792
0.1975249,1.646776,0.002677023
0.1932285,1.651243,0.00329414
0.1891593,1.656127,0.002998024
0.1841592,1.660601,0.002747118
0.1793171,1.665705,0.002535939
0.1750101,1.671945,0.001184791
0.1699911,1.678032,-9.465218E-05
0.1653923,1.68366,-0.000377804
0.1612924,1.689382,-0.0001730323
0.1564366,1.6935,0.0001762509
0.1509069,1.698392,-6.41346E-05
0.1453864,1.702572,-0.0002432168
0.1388569,1.706575,1.132488E-06
0.1326009,1.709304,0.0004463494
0.1255415,1.712347,0.0004031062
0.1177418,1.715914,0.0002182126
0.1117969,1.720421,0.0007959902
0.1055662,1.724071,0.001118839
0.09814841,1.728255,-0.0005767941
0.09111154,1.731346,-0.001988709
0.08459952,1.73404,-0.004204601
0.07716855,1.738942,-0.006578088
0.07013962,1.741828,-0.007796705
0.0630077,1.745475,-0.009772688
0.05656884,1.747482,-0.01033664
0.04943683,1.748728,-0.01116917
0.04321995,1.74929,-0.01204249
0.03621292,1.750357,-0.01353872
0.02959001,1.751662,-0.01432145
0.02245709,1.751776,-0.01469281
0.01431008,1.750728,-0.01296717
0.008448984,1.749838,-0.01145253
0.001726266,1.749457,-0.01023829
-0.00597911,1.747189,-0.009584814
-0.01293194,1.745776,-0.01033747
-0.01989539,1.746579,-0.01181468
-0.02761275,1.746888,-0.01249871
-0.0359172,1.746479,-0.01252851
-0.04363966,1.745089,-0.01287922
-0.04866207,1.742668,-0.01484591
-0.05454204,1.740032,-0.01649207
-0.0599699,1.737558,-0.01672316
-0.06498293,1.734277,-0.01546073
-0.07011142,1.732117,-0.01467887
-0.07488857,1.731018,-0.01375449
-0.08041075,1.72953,-0.01501918
-0.08649428,1.728489,-0.01647237
-0.09291671,1.72725,-0.01728937
-0.09919787,1.725124,-0.01819381
-0.1061611,1.723014,-0.01840368
-0.1130724,1.720549,-0.01862854
-0.1197386,1.717876,-0.01961008
-0.1273833,1.71257,-0.02023515
-0.1349861,1.707756,-0.02116275
-0.1450154,1.699532,-0.02274004
-0.1500811,1.692468,-0.02432311
-0.1556018,1.688116,-0.02540034
-0.1604707,1.683889,-0.02554864
-0.1654543,1.680047,-0.02660102
-0.1703073,1.676255,-0.02744392
-0.1765013,1.671404,-0.02874324
-0.1829501,1.665953,-0.02934113
-0.1886503,1.661058,-0.03079885
-0.1944208,1.655207,-0.03146029
-0.1996748,1.648498,-0.03161329
-0.2205571,1.612785,-0.02923176
-0.2372864,1.579917,-0.02833569
-0.2401015,1.576181,-0.02921373
-0.2423954,1.574592,-0.0293355
-0.2434586,1.572724,-0.02962691
-0.2437057,1.57162,-0.02909774
-0.2443669,1.566908,-0.02818972
-0.2439829,1.560593,-0.02698091
-0.2437628,1.553026,-0.02530882
-0.2443337,1.544808,-0.02252305
-0.2441624,1.536091,-0.02012497
-0.24389,1.527103,-0.01882601
-0.2436833,1.517728,-0.01775989
-0.2434882,1.50896,-0.01624691
-0.2427755,1.502837,-0.01453131
-0.2427386,1.495907,-0.01430672
-0.2429408,1.490418,-0.01424986
-0.242822,1.485288,-0.01339447
-0.2422443,1.479559,-0.01191765
-0.2415563,1.473726,-0.01131627
-0.2411275,1.466561,-0.01139912
-0.2409236,1.457708,-0.01102969
-0.2404947,1.448228,-0.01012844
-0.2401335,1.438447,-0.00897184
-0.2395685,1.430359,-0.008752406
-0.2378992,1.423579,-0.008412361
-0.2355159,1.417732,-0.008785307
-0.2342428,1.411248,-0.008477718
-0.2340698,1.405435,-0.008217782
-0.23376,1.400684,-0.007991254
-0.2321848,1.396698,-0.007734925
-0.2291149,1.391728,-0.006678313
-0.2257141,1.385789,-0.005905241
-0.2223522,1.379052,-0.00450328
-0.2194362,1.372308,-0.003366172
-0.2163305,1.365467,-0.003055274
