X,Y,Z
0.200241,0.564595,-2.02529
0.2073154,0.5657116,-2.027233
0.2161766,0.5672576,-2.028733
0.2267523,0.5689641,-2.028763
0.2368409,0.5707326,-2.029011
0.2465267,0.57274,-2.028137
0.2549596,0.5743485,-2.025799
0.2611201,0.575337,-2.022478
0.2647449,0.5759159,-2.017879
0.2677974,0.5764651,-2.013865
0.2691382,0.576937,-2.009677
0.2694598,0.5776731,-2.005594
0.2686965,0.5784251,-2.000663
0.2684055,0.5788146,-1.994569
0.2684763,0.5790333,-1.987908
0.2687191,0.5791556,-1.9808
0.2689143,0.5794014,-1.972818
0.2675519,0.579615,-1.964686
0.2656287,0.5798122,-1.956509
0.2632975,0.5800332,-1.948698
0.2607446,0.5802458,-1.9413
0.2587843,0.5801055,-1.933631
0.2570656,0.5795698,-1.925334
0.2556831,0.5793083,-1.916711
0.2536086,0.578952,-1.907891
0.2494791,0.5786576,-1.899045
0.245174,0.5784782,-1.890353
0.2423225,0.5779136,-1.880765
0.2401089,0.5776919,-1.870865
0.235908,0.5772536,-1.860546
0.2292557,0.5776253,-1.849745
0.221093,0.5781443,-1.838418
0.2123994,0.5787939,-1.826328
0.205175,0.5795876,-1.812989
0.1991533,0.5805237,-1.799356
0.1932,0.5818314,-1.785693
0.1866795,0.5830953,-1.77068
0.1792641,0.5842115,-1.755064
0.1715378,0.5852068,-1.738127
0.1623427,0.5853034,-1.719556
0.1515201,0.5856353,-1.699974
0.1395945,0.5859932,-1.680845
0.1276792,0.5861557,-1.659215
0.1158664,0.5855525,-1.63671
0.1052812,0.5838253,-1.612777
0.09523318,0.5819722,-1.587679
0.08654129,0.5801844,-1.561689
0.07867411,0.5780578,-1.535141
0.07051613,0.5765116,-1.507606
0.06266129,0.5754337,-1.479421
0.05528257,0.5746493,-1.450207
0.04795408,0.573401,-1.420389
0.04214436,0.5723823,-1.39117
0.0371688,0.5715635,-1.362153
0.03229893,0.5710618,-1.334764
0.02774285,0.5708808,-1.308372
0.02361993,0.5709134,-1.282821
0.01981197,0.5706787,-1.257284
0.01572207,0.5702731,-1.231221
0.01174886,0.569956,-1.205052
0.007609374,0.5699397,-1.178262
0.003988257,0.5697718,-1.151301
-4.926076E-05,0.5718132,-1.121707
-0.003346902,0.5700941,-1.090275
-0.006330173,0.5708044,-1.059345
-0.009339748,0.5709186,-1.026023
-0.0117042,0.5710799,-0.9937617
-0.01358454,0.5714364,-0.9616919
-0.01510521,0.5716332,-0.929868
-0.01625336,0.5718742,-0.8989962
-0.01719641,0.5718911,-0.8683516
-0.01859498,0.5718859,-0.8380125
-0.01926143,0.5719782,-0.8091697
-0.02011163,0.5718099,-0.779811
-0.0211718,0.5717285,-0.7509252
-0.02254066,0.572027,-0.7227754
-0.0243245,0.5721389,-0.693664
-0.02580447,0.5719379,-0.6640899
-0.02760105,0.571619,-0.6333673
-0.02974133,0.5712484,-0.6025133
-0.03232102,0.5708685,-0.5713809
-0.0348006,0.5705162,-0.541124
-0.03778871,0.5702212,-0.5107202
-0.0405779,0.5703038,-0.4809419
-0.04291906,0.5700095,-0.4523094
-0.04526875,0.5700566,-0.4239031
-0.0474739,0.5701022,-0.3958756
-0.04986656,0.5699028,-0.3681563
-0.05172009,0.5699915,-0.34079
-0.05365835,0.5700459,-0.3135631
-0.05632287,0.5700076,-0.2865959
-0.0590954,0.5702666,-0.2597721
-0.0621319,0.570507,-0.2322265
-0.06561632,0.5708145,-0.2049784
-0.06872546,0.5712479,-0.1780051
-0.07210214,0.5718125,-0.1509202
-0.07584123,0.5721735,-0.1247155
-0.07898275,0.5726913,-0.09910098
-0.08189575,0.5731944,-0.0740141
-0.08462062,0.5737437,-0.04969916
-0.08704891,0.5742785,-0.02666259
-0.08920246,0.5749673,-0.003917843
-0.09131826,0.5756789,0.01859576
-0.09334569,0.5761296,0.04004675
-0.09546166,0.5768095,0.0615012
-0.09780654,0.577113,0.08255506
-0.09998146,0.5778444,0.103938
-0.101865,0.5782746,0.124869
-0.1042637,0.5788805,0.1452559
-0.106293,0.5795167,0.1638749
-0.1085817,0.5802215,0.1813824
-0.1103971,0.581013,0.1974009
-0.1123836,0.5816875,0.212095
-0.1142664,0.5823136,0.2255228
-0.1159496,0.5828631,0.2378058
-0.1174204,0.5833425,0.2486366
-0.1187259,0.5837708,0.2576845
-0.119822,0.5842423,0.2653127
-0.1207503,0.5845454,0.2707353
-0.121254,0.5847965,0.274378
-0.1216896,0.584995,0.2765757
