X,Y,Z
0.2500225,1.252851,-0.01673031
0.2482093,1.252892,-0.01624963
0.2472793,1.254427,-0.01454592
0.2461661,1.255438,-0.01401219
0.2463243,1.257926,-0.01409176
0.2455266,1.261651,-0.01382044
0.2453091,1.265519,-0.01439804
0.2456579,1.27045,-0.01524484
0.2462582,1.276551,-0.01617196
0.2462388,1.282707,-0.01711965
0.2457712,1.289278,-0.01725367
0.2456771,1.296216,-0.01742455
0.2475384,1.303005,-0.01848176
0.2489964,1.306908,-0.01934853
0.2440498,1.33444,-0.01995116
0.2441142,1.340133,-0.02079684
0.2423689,1.347311,-0.02220747
0.2412138,1.353847,-0.02398589
0.2403817,1.359297,-0.02429929
0.2396627,1.363532,-0.02412778
0.2395356,1.367816,-0.02333641
0.239067,1.370483,-0.02317935
0.2383335,1.37547,-0.02367532
0.2378289,1.38103,-0.02477899
0.2379421,1.386352,-0.02622941
0.2387653,1.393548,-0.02645725
0.2394634,1.401378,-0.02656692
0.2394683,1.410611,-0.02558601
0.2403748,1.419333,-0.02490267
0.2407205,1.427086,-0.02520809
0.2401556,1.435231,-0.02604499
0.2397371,1.444148,-0.02576178
0.2389773,1.452558,-0.02564427
0.2388649,1.459043,-0.02537754
0.237323,1.466388,-0.0255717
0.2357773,1.472983,-0.02486908
0.2353335,1.478923,-0.023287
0.2346495,1.485631,-0.02272424
0.2350819,1.492124,-0.02358785
0.2360165,1.500175,-0.02349871
0.2374768,1.507516,-0.02455845
0.2392659,1.517112,-0.0235942
0.2407555,1.525088,-0.02284837
0.2414318,1.535524,-0.02207679
0.2403308,1.545766,-0.02216876
0.2394864,1.555489,-0.02204713
0.2391852,1.565825,-0.02217281
0.2376057,1.575301,-0.02301237
0.2370515,1.584685,-0.02264863
0.2380088,1.59473,-0.02142781
0.2369329,1.60454,-0.0213435
0.2356457,1.61196,-0.02390328
0.2339458,1.622061,-0.02523196
0.2334669,1.631356,-0.02615467
0.2346574,1.639011,-0.02712244
0.2346129,1.646494,-0.02738643
0.2345405,1.655299,-0.0270769
0.2351288,1.662853,-0.02587992
0.2342265,1.671529,-0.02561149
0.2342767,1.678831,-0.02467656
0.2337562,1.684306,-0.02502581
0.2320762,1.690183,-0.02572986
0.2317284,1.695736,-0.02482986
0.2335435,1.700003,-0.02352312
0.2342027,1.706469,-0.02359068
0.236253,1.712888,-0.02310848
0.2374808,1.719194,-0.02263498
0.2391989,1.724576,-0.02323666
0.2404969,1.730865,-0.02509084
0.2426157,1.736656,-0.02631962
0.2445528,1.741658,-0.02598345
0.2452109,1.745902,-0.02465847
0.2457625,1.748829,-0.02349797
0.2472595,1.749596,-0.01924184
0.2479863,1.749225,-0.01493874
0.2474151,1.749988,-0.0110102
0.2458051,1.749925,-0.009295374
0.2414662,1.750579,-0.009528369
0.2329798,1.751304,-0.009876549
0.2230825,1.752868,-0.01045433
0.2119431,1.754323,-0.01203373
0.1981016,1.755428,-0.01371929
0.1825751,1.755447,-0.01423833
0.167568,1.754741,-0.01410219
0.1513527,1.753654,-0.01273635
0.1351652,1.751863,-0.01113048
0.1190588,1.750292,-0.01005939
0.1026395,1.750405,-0.007957309
0.08742142,1.749724,-0.006304085
0.07002367,1.750188,-0.005206674
0.05493866,1.749613,-0.005451322
0.0401429,1.749636,-0.00373897
0.0260339,1.751039,-0.002302229
0.01053687,1.749913,-0.002527177
-0.005367493,1.74856,-0.005227298
-0.0227879,1.74865,-0.007988155
-0.03933801,1.748243,-0.007953256
-0.05572066,1.747401,-0.009463102
-0.07171888,1.745625,-0.008900374
-0.08687177,1.746406,-0.009842247
-0.100954,1.748139,-0.01396596
-0.1161153,1.748722,-0.01628694
-0.1315323,1.749385,-0.01836661
-0.145401,1.749069,-0.02210024
-0.1589895,1.749605,-0.02528432
-0.1731953,1.750148,-0.02602801
-0.187327,1.749458,-0.02417338
-0.2004816,1.749686,-0.02429754
-0.2112625,1.751224,-0.02471188
-0.2208348,1.753151,-0.0232836
-0.2291149,1.753397,-0.01960799
-0.2351586,1.755375,-0.01603812
-0.2419795,1.756275,-0.01415393
-0.2480305,1.754774,-0.01352003
-0.2522579,1.752216,-0.01170424
-0.2548748,1.74932,-0.009015411
-0.2557834,1.747439,-0.00876236
-0.2554444,1.743969,-0.008850932
-0.2545099,1.738645,-0.009621471
-0.2532322,1.732005,-0.01183993
-0.252281,1.724056,-0.01270926
-0.2517157,1.713583,-0.01248178
-0.2518077,1.706278,-0.01187813
-0.2526555,1.693459,-0.01270232
-0.2497495,1.678257,-0.01413587
-0.2476286,1.665833,-0.01589286
-0.2475232,1.650358,-0.01651493
-0.247027,1.633546,-0.01608717
