X,Y,Z
0.2511048,1.505428,-0.002563063
0.2511784,1.503664,0.0006865449
0.2516508,1.502194,0.0008948073
0.2529913,1.500383,0.001892149
0.2548455,1.500945,0.002254087
0.2562693,1.505173,0.002872527
0.2565713,1.510441,0.003011696
0.2557178,1.519685,0.002734896
0.2520671,1.531162,0.0008282773
0.2499553,1.54198,-0.002701316
0.2476014,1.550864,-0.004657399
0.245497,1.556173,-0.005616102
0.2416698,1.563198,-0.007048227
0.2394278,1.570924,-0.007205866
0.2356024,1.577254,-0.007618215
0.2327058,1.582212,-0.007940762
0.2296575,1.589034,-0.008696515
0.226197,1.597256,-0.009333398
0.2215931,1.603921,-0.009462141
0.2175554,1.610732,-0.01010754
0.2147338,1.615677,-0.010679
0.2087493,1.62108,-0.00967728
0.2038716,1.630539,-0.007609423
0.2008731,1.640931,-0.007053338
0.1976765,1.647953,-0.007166747
0.192155,1.658105,-0.006631233
0.1876455,1.669774,-0.007721737
0.1800623,1.679285,-0.008271001
0.1711967,1.686302,-0.009208497
0.1656618,1.689091,-0.008903876
0.1571226,1.696043,-0.007266849
0.1481733,1.70122,-0.006913189
0.1393827,1.704774,-0.006560348
0.1351898,1.708484,-0.006496929
0.130815,1.714731,-0.006135996
0.1234021,1.719645,-0.006626777
0.1151118,1.724888,-0.006368913
0.1075203,1.727637,-0.006901711
0.1009744,1.73143,-0.007644389
0.09118852,1.736212,-0.0083322
0.08209862,1.738413,-0.009091187
0.07153121,1.743,-0.009398542
0.06354126,1.744615,-0.01045735
0.05353736,1.746582,-0.01070638
0.04531998,1.747017,-0.01114041
0.03645562,1.74876,-0.01074567
0.02724257,1.750308,-0.0103416
0.02079566,1.752543,-0.009555563
0.01055215,1.754217,-0.009789653
-0.001269579,1.753499,-0.01029297
-0.01334344,1.752601,-0.01070268
-0.02562433,1.753719,-0.01228989
-0.03400133,1.753721,-0.01303468
-0.0459471,1.749178,-0.01441607
-0.05557935,1.746315,-0.01515254
-0.0684509,1.745548,-0.01484422
-0.0743793,1.742929,-0.01444222
-0.08284236,1.741339,-0.0152061
-0.09304226,1.738784,-0.01560352
-0.1055058,1.735814,-0.01594847
-0.1136383,1.732665,-0.01553267
-0.1188061,1.730259,-0.01560735
-0.1255076,1.723474,-0.01563856
-0.1304602,1.719036,-0.01470111
-0.1365292,1.716163,-0.01407934
-0.1413466,1.712609,-0.01383825
-0.1489758,1.709836,-0.01555996
-0.1536168,1.702516,-0.01789048
-0.1559514,1.699437,-0.01137694
-0.1613381,1.693444,-0.008390658
-0.1647494,1.68658,-0.008358814
-0.1710618,1.678644,-0.008619167
-0.1761954,1.67214,-0.009666905
-0.1806087,1.66249,-0.009830289
-0.184698,1.659,-0.01048813
-0.1896915,1.65296,-0.01068629
-0.1935874,1.647623,-0.009757549
-0.198252,1.642672,-0.01107668
-0.204648,1.634178,-0.01748151
-0.2060604,1.630926,-0.01884702
-0.2057174,1.622053,-0.01850019
-0.2071949,1.609292,-0.01614743
-0.2103644,1.592566,-0.01511315
-0.2120611,1.58475,-0.01432911
-0.2150659,1.573932,-0.01233522
-0.2216732,1.567759,-0.01242844
-0.2265474,1.566008,-0.01313678
-0.2302167,1.568423,-0.01504286
-0.2331011,1.570817,-0.01607565
-0.2352032,1.572148,-0.01581032
-0.2363551,1.571827,-0.01380665
-0.2381888,1.568045,-0.01094022
-0.2384084,1.562169,-0.01016834
-0.2387887,1.552133,-0.008773677
-0.238782,1.539716,-0.006796103
-0.2405814,1.528241,-0.005091157
-0.24153,1.519884,-0.004222836
-0.2437208,1.507986,-0.00335183
-0.2465473,1.498366,-0.001830757
-0.2488265,1.491127,-0.0003426746
-0.2472677,1.484129,0.0004527643
-0.2477491,1.478581,-0.00300708
-0.2475491,1.475526,-0.0065233
