X,Y,Z
0.2473694,1.253307,-0.01709682
0.2462342,1.251736,-0.01460617
0.2453593,1.249491,-0.01391273
0.2435938,1.247645,-0.01305561
0.2455186,1.249314,-0.01183639
0.2492996,1.250585,-0.01205165
0.2494132,1.252593,-0.01257534
0.2494478,1.25929,-0.01318705
0.2485118,1.267269,-0.01539334
0.2486027,1.277845,-0.01701838
0.2477149,1.28773,-0.01757855
0.2470072,1.292829,-0.01820721
0.245532,1.299712,-0.01981917
0.2441476,1.306239,-0.0210728
0.2425233,1.312751,-0.02126025
0.2446103,1.322908,-0.01843096
0.2465282,1.324291,-0.0176408
0.2458532,1.327142,-0.01790541
0.2430235,1.335853,-0.01819022
0.2405208,1.342222,-0.01897139
0.2399229,1.348524,-0.01642126
0.2401039,1.352844,-0.01551959
0.2398959,1.3578,-0.01574884
0.2383916,1.36551,-0.01511351
0.2378298,1.374309,-0.01419482
0.2379765,1.37969,-0.01429852
0.2377422,1.38744,-0.01507818
0.2381253,1.39432,-0.01514346
0.2401776,1.401836,-0.01496138
0.2409021,1.405284,-0.01559424
0.2417532,1.414942,-0.01459849
0.2412316,1.419085,-0.01534673
0.2419136,1.427956,-0.01428079
0.2419435,1.433044,-0.01277418
0.2418792,1.437833,-0.01207532
0.2426991,1.445119,-0.01169164
0.2425444,1.450787,-0.01126011
0.2418087,1.458525,-0.01040503
0.2412867,1.463817,-0.01054015
0.2413779,1.470026,-0.01068979
0.2400366,1.477288,-0.009739701
0.2413662,1.483796,-0.009119645
0.2403016,1.489002,-0.008371536
0.2399204,1.494642,-0.008798677
0.2389747,1.502228,-0.009819411
0.2387335,1.512045,-0.01120142
0.2397298,1.51934,-0.01013667
0.2388479,1.523973,-0.009284332
0.2385053,1.532762,-0.01010589
0.2407464,1.541381,-0.01017485
0.2420898,1.550348,-0.01107627
0.2458849,1.56126,-0.01287251
0.2485674,1.569423,-0.01235068
0.2466237,1.57546,-0.01207342
0.2438458,1.585891,-0.009629514
0.2417497,1.594438,-0.007436827
0.2414717,1.600294,-0.006890547
0.2399151,1.611671,-0.006519251
0.2426468,1.621477,-0.007513963
0.2434741,1.628093,-0.007564373
0.243813,1.632477,-0.006722745
0.2471673,1.639695,-0.004461069
0.251414,1.64889,-0.001528319
0.2516202,1.654979,-0.0006276332
0.2486328,1.660529,0.001118567
0.2511613,1.670564,0.001557667
0.2544933,1.679657,0.001460589
0.2548982,1.688482,-0.0001209453
0.2520877,1.698528,-0.002092469
0.2519571,1.705996,-0.001966529
0.2489923,1.710213,-0.002271157
0.2438964,1.719859,-0.002780668
0.2415222,1.724033,-0.004976127
0.2382978,1.735079,-0.003531072
0.2377894,1.7406,-0.005748071
0.2389282,1.750949,-0.008352961
0.241503,1.755684,-0.01033808
0.2430362,1.755983,-0.008448821
0.2461126,1.755543,-0.009304918
0.2487792,1.753695,-0.01027565
0.2532894,1.753051,-0.01034256
0.2531412,1.750267,-0.009776138
0.2548925,1.75086,-0.01044558
0.2543848,1.753653,-0.009890646
0.2495368,1.753313,-0.009619426
0.2392603,1.753361,-0.01173933
0.2313114,1.757079,-0.0141666
0.2220074,1.756303,-0.01493664
0.2164072,1.757561,-0.01528309
0.2072165,1.756074,-0.01538558
0.199576,1.758119,-0.01544176
0.1917728,1.757785,-0.0153578
0.1858145,1.759341,-0.01519091
0.1769067,1.759987,-0.01577782
0.1663886,1.761976,-0.01645796
0.1542992,1.760499,-0.01563261
0.142526,1.759399,-0.01510587
0.1343022,1.760545,-0.01488046
0.1230836,1.761136,-0.01579892
0.1114555,1.761161,-0.01732953
0.09829509,1.760792,-0.01776453
0.09163122,1.761144,-0.01753807
0.07931611,1.762787,-0.0156393
0.06515038,1.762596,-0.01539344
0.05052716,1.760996,-0.01376002
0.03622301,1.759909,-0.01309586
0.02569518,1.760806,-0.01243902
0.0100716,1.761107,-0.01159733
-0.002494818,1.761442,-0.01108306
-0.01786334,1.760338,-0.01219685
-0.02846111,1.761127,-0.01251066
-0.04402437,1.760522,-0.01238017
-0.05905607,1.758253,-0.01198328
-0.07493217,1.755914,-0.01312593
-0.09155457,1.756497,-0.01690747
-0.1027108,1.75799,-0.01994748
-0.1163824,1.759259,-0.01900511
-0.1347195,1.758649,-0.02022589
-0.150423,1.756766,-0.02256938
-0.1613019,1.754456,-0.02294173
-0.1765107,1.751438,-0.02210021
-0.1870945,1.750329,-0.0225162
-0.1981192,1.754346,-0.02299804
-0.2087958,1.753307,-0.02216157
-0.2178651,1.752738,-0.02337437
-0.2274709,1.75578,-0.02542958
-0.2364862,1.753766,-0.0283572
-0.2444272,1.756991,-0.03019477
-0.2496299,1.756657,-0.03053585
-0.2542434,1.755331,-0.03109727
-0.2576178,1.752532,-0.02960144
-0.2592215,1.747162,-0.02768445
-0.2588847,1.743273,-0.02455858
-0.2583257,1.73805,-0.02183173
-0.2584059,1.728025,-0.018614
-0.257301,1.716815,-0.01998185
-0.2553696,1.704796,-0.0218861
-0.2550158,1.695113,-0.02384306
-0.2548247,1.678289,-0.02604381
-0.2523976,1.661773,-0.02943931
-0.2489553,1.635094,-0.02668286
-0.251348,1.609294,-0.02590141
-0.2508225,1.593456,-0.02290188
-0.2498825,1.571553,-0.01959695
-0.2510425,1.551363,-0.02071221
-0.2526977,1.53228,-0.02172176
-0.2509401,1.520029,-0.02055538
-0.2487817,1.502715,-0.01791636
-0.249619,1.4813,-0.01966081
-0.249596,1.461851,-0.02116363
-0.2495137,1.439057,-0.02435954
-0.2520326,1.425579,-0.02700873
-0.2565942,1.403561,-0.02905034
-0.2569789,1.380433,-0.0336307
-0.2605157,1.352734,-0.03565545
-0.2615621,1.332069,-0.03921951
-0.2604756,1.310655,-0.04235239
-0.2566293,1.293315,-0.04304254
-0.253535,1.285995,-0.04494156
-0.252307,1.281222,-0.04695682
-0.2501027,1.280051,-0.04614087
-0.2495233,1.279894,-0.04286184
-0.2492696,1.273445,-0.03995814
-0.2495348,1.266717,-0.03346166
-0.2468702,1.260833,-0.0268329
-0.2444265,1.253516,-0.01745006
-0.2396784,1.245519,-0.008983649
-0.233785,1.243087,-0.00394547
-0.2310144,1.244503,-0.001053497
-0.2261617,1.244547,0.001088686
-0.2167742,1.240093,0.001023453
-0.2073142,1.239768,0.001782283
-0.1979461,1.238833,0.0009603053
-0.1891206,1.237265,0.0001879595
-0.1722855,1.239382,-0.0008712336
-0.1598534,1.241322,-0.0005746484
-0.1424615,1.240557,-0.0002629608
-0.1248379,1.239799,0.0004976355
-0.1126349,1.239244,0.000682734
-0.09462824,1.240999,0.002751701
-0.07687965,1.241018,0.003682159
-0.05880828,1.239262,0.005393744
-0.0465886,1.238974,0.006246526
-0.02587311,1.240833,0.009605475
-0.007389296,1.242434,0.009836659
0.01216021,1.245928,0.007221814
0.03212924,1.24911,0.005215187
0.04402637,1.249674,0.003585201
0.0637429,1.250287,0.0004888922
0.08346839,1.251111,-0.001770504
0.1026512,1.250363,-0.004406746
0.115473,1.248172,-0.007760651
0.134465,1.248552,-0.01167193
0.1502602,1.250583,-0.01463962
0.1667485,1.253566,-0.01776667
0.1778923,1.255073,-0.01945973
0.1933218,1.255989,-0.02137266
0.2079364,1.257424,-0.02240453
0.21918,1.260044,-0.02005009
0.2315693,1.255278,-0.0171575
0.2384617,1.252761,-0.01611445
