X,Y,Z
0.2548963,1.248368,-0.01734965
0.2542296,1.248716,-0.01714493
0.2528266,1.249407,-0.01535254
0.2513868,1.250014,-0.01287918
0.2514468,1.24967,-0.01185606
0.2506955,1.248835,-0.01087909
0.2493921,1.249532,-0.01009399
0.2469141,1.252769,-0.01025871
0.2446079,1.258431,-0.01135137
0.2421699,1.265988,-0.01274629
0.2412967,1.271989,-0.01338775
0.2394809,1.278025,-0.01385978
0.238529,1.282971,-0.01394591
0.2365773,1.287087,-0.01300088
0.2343754,1.288748,-0.0132567
0.2331772,1.290205,-0.01333458
0.2323164,1.293947,-0.01415441
0.2286714,1.298321,-0.01413618
0.2262613,1.304825,-0.01518191
0.2246355,1.311674,-0.01615265
0.2232096,1.316268,-0.01675141
0.221615,1.320668,-0.01655537
0.2192026,1.324864,-0.01559721
0.2181854,1.330272,-0.0149032
0.2149909,1.335113,-0.01477158
0.2115639,1.33936,-0.01491236
0.2079212,1.343825,-0.01524995
0.2063505,1.347835,-0.01526587
0.2036581,1.354922,-0.01493904
0.2012307,1.362086,-0.0151001
0.1994328,1.369686,-0.01465644
0.1975157,1.376207,-0.01414856
0.1949462,1.38256,-0.01388067
0.1919748,1.387786,-0.01332917
0.1894594,1.393655,-0.01190372
0.1854277,1.398871,-0.01190737
0.1828671,1.402756,-0.01164799
0.1804392,1.408148,-0.01047997
0.178278,1.413582,-0.009443816
0.1750203,1.418988,-0.008415971
0.1726872,1.424644,-0.008166514
0.1708452,1.429609,-0.007665064
0.167963,1.435649,-0.008319534
0.1647586,1.442096,-0.008076794
0.1621409,1.447547,-0.008353557
0.160053,1.453139,-0.007998358
0.1578249,1.458084,-0.007487744
0.1560045,1.46194,-0.007426314
0.1538451,1.466586,-0.007051345
0.1519017,1.472647,-0.005898003
0.148614,1.478672,-0.003975261
0.1459401,1.483239,-0.002314236
0.1425867,1.487769,-0.0009637959
0.1402911,1.493073,0.001421317
0.1385438,1.49723,0.002737675
0.1361505,1.501937,0.003848787
0.1331479,1.508502,0.005037367
0.1303419,1.515049,0.005085982
0.127207,1.521702,0.005007759
0.1256,1.528154,0.005534969
0.1239536,1.534353,0.00689726
0.121614,1.541561,0.00755243
0.1196358,1.54764,0.006990101
0.1180689,1.552737,0.006425574
0.1148024,1.559666,0.006444652
0.1118203,1.56547,0.007271949
0.1080776,1.571102,0.008140907
0.1029916,1.575943,0.008590519
0.09909926,1.580024,0.008413196
0.094397,1.585314,0.009331904
0.09083522,1.589397,0.01024486
0.08817742,1.593442,0.01162159
0.08498657,1.598397,0.01297078
0.08218384,1.603848,0.01385162
0.07880946,1.609118,0.01418081
0.07640381,1.615443,0.01412167
0.0751375,1.619632,0.01412609
0.07344577,1.625513,0.01352017
0.07128986,1.62988,0.01303026
0.06797089,1.634575,0.01361746
0.06575329,1.638164,0.01433673
0.06262853,1.641849,0.01559523
0.06009129,1.645165,0.01576383
0.05655041,1.651396,0.0152795
0.05281828,1.657816,0.01449222
0.04993632,1.664318,0.01409794
0.04714376,1.670378,0.01492764
0.04365597,1.675447,0.0162627
